donor,announcement_date,source_reported_value,reporting_currency,aid_type_general,aid_type_specific,measure,explanation
Belgium,16.06.23,1.500.000,EUR,Military,Funding for Weapon Acquisition Program,Allocation,Belgium will contribute 1.5 EUR million to the Comprehensive Assistance Package Ukraine (CAP) Trust Fund.
Belgium,15.12.23,21.000.000,EUR,Military,Weapons and equipment,Allocation,Belgium's 19th military support package for Ukraine for the amount of EUR 21 million. No further information is provided on the contents of the package.
Belgium,15.12.23,1.068.550.000,EUR,Military,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Belgium,28.02.24,200.000.000,EUR,Military,Weapons,Allocation,"Prime Minister de Croo announced that Belgium is purchasing EUR 200 million worth of artillery ammunition for Ukraine. De Croo mentioned that the funds should suffice for 50,000 rounds. Czechia took initiative on procuring the shells. This is an allocation from the 1.5 billion commitment reported in BEF7."
Belgium,29.02.24,334.000.000,EUR,Military,Weapons,Allocation,"Defence minister Dedonder announced that Belgium will be giving €334 million in material to Ukraine. Of that amount, EUR 80 million is from the stock of the Belgian army, mainly armoured vehicles, anti-aircraft artillery elements and smaller calibre ammunition. The remaining EUR 254 million contain supplies of anti-drone capabilities, missiles, other types of ammunition, and demining systems. During the conference she also announces that the BeNeLux countries will be giving EUR 30 million worth of military material containing reconnaissance drones and armoured ambulances. We cannot definitely say that those EUR 30 million come on top of the EUR 334 million, so they are excluded for now. The whole package is an allocation from the commitment of EUR 1.505 billion."
Belgium,29.02.24,334.000.000,EUR,Military,Weapons,Allocation,"Defence minister Dedonder announced that Belgium will be giving €334 million in material to Ukraine. Of that amount, EUR 80 million is from the stock of the Belgian army, mainly armoured vehicles, anti-aircraft artillery elements and smaller calibre ammunition. The remaining EUR 254 million contain supplies of anti-drone capabilities, missiles, other types of ammunition, and demining systems. During the conference she also announces that the BeNeLux countries will be giving EUR 30 million worth of military material containing reconnaissance drones and armoured ambulances. We cannot definitely say that those EUR 30 million come on top of the EUR 334 million, so they are excluded for now. The whole package is an allocation from the commitment of EUR 1.505 billion."
Belgium,29.02.24,334.000.000,EUR,Military,Weapons,Allocation,"Defence minister Dedonder announced that Belgium will be giving €334 million in material to Ukraine. Of that amount, EUR 80 million is from the stock of the Belgian army, mainly armoured vehicles, anti-aircraft artillery elements and smaller calibre ammunition. The remaining EUR 254 million contain supplies of anti-drone capabilities, missiles, other types of ammunition, and demining systems. During the conference she also announces that the BeNeLux countries will be giving EUR 30 million worth of military material containing reconnaissance drones and armoured ambulances. We cannot definitely say that those EUR 30 million come on top of the EUR 334 million, so they are excluded for now. The whole package is an allocation from the commitment of EUR 1.505 billion."
Belgium,29.02.24,334.000.000,EUR,Military,Weapons,Allocation,"Defence minister Dedonder announced that Belgium will be giving €334 million in material to Ukraine. Of that amount, EUR 80 million is from the stock of the Belgian army, mainly armoured vehicles, anti-aircraft artillery elements and smaller calibre ammunition. The remaining EUR 254 million contain supplies of anti-drone capabilities, missiles, other types of ammunition, and demining systems. During the conference she also announces that the BeNeLux countries will be giving EUR 30 million worth of military material containing reconnaissance drones and armoured ambulances. We cannot definitely say that those EUR 30 million come on top of the EUR 334 million, so they are excluded for now. The whole package is an allocation from the commitment of EUR 1.505 billion."
Belgium,29.02.24,334.000.000,EUR,Military,Weapons,Allocation,"Defence minister Dedonder announced that Belgium will be giving €334 million in material to Ukraine. Of that amount, EUR 80 million is from the stock of the Belgian army, mainly armoured vehicles, anti-aircraft artillery elements and smaller calibre ammunition. The remaining EUR 254 million contain supplies of anti-drone capabilities, missiles, other types of ammunition, and demining systems. During the conference she also announces that the BeNeLux countries will be giving EUR 30 million worth of military material containing reconnaissance drones and armoured ambulances. We cannot definitely say that those EUR 30 million come on top of the EUR 334 million, so they are excluded for now. The whole package is an allocation from the commitment of EUR 1.505 billion."
Belgium,15.03.24,373.100.000,EUR,Military,Weapons,Allocation,Defence minister Ludivine Dedonder announced a military aid package of EUR 412 million (Source 1). This entry records EUR 373.1 million contributing to the Czech ammunition initiative and to supplying munitions from Belgian stocks (Source 2).
Belgium,15.03.24,38.900.000,EUR,Military,Equipment,Allocation,"Defence minister Ludivine Dedonder announced a military aid package of EUR 412 million (Source 1). This entry records the remaining EUR 38.9 million going towards procurement of armored ambulances, three minesweepers, reconnaissance drones, and 300 Lynx vehicles in cooperation with the Benelux countries (Source 2)."
Belgium,15.03.24,38.900.000,EUR,Military,Equipment,Allocation,"Defence minister Ludivine Dedonder announced a military aid package of EUR 412 million (Source 1). This entry records the remaining EUR 38.9 million going towards procurement of armored ambulances, three minesweepers, reconnaissance drones, and 300 Lynx vehicles in cooperation with the Benelux countries (Source 2)."
Belgium,15.03.24,38.900.000,EUR,Military,Weapons,Allocation,"Defence minister Ludivine Dedonder announced a military aid package of EUR 412 million (Source 1). This entry records the remaining EUR 38.9 million going towards procurement of armored ambulances, three minesweepers, reconnaissance drones, and 300 Lynx vehicles in cooperation with the Benelux countries (Source 2)."
Belgium,15.03.24,38.900.000,EUR,Military,Weapons,Allocation,"Defence minister Ludivine Dedonder announced a military aid package of EUR 412 million (Source 1). This entry records the remaining EUR 38.9 million going towards procurement of armored ambulances, three minesweepers, reconnaissance drones, and 300 Lynx vehicles in cooperation with the Benelux countries (Source 2)."
Belgium,29.03.24,100.000.000,EUR,Military,Equipment,Allocation,"On 29 March 2024, the Council of Ministers approved an additional EUR 100 million towards the maintenance and support of Belgian F-16s destined to Ukraine."
Belgium,26.04.24,200.000.000,EUR,Military,Funding for Weapon Acquisition Program,Allocation,"In a decision of the Council of Ministers of 26 April 2024 (Source 1), a new package of 204.3 million EUR in military support was allocated from the Ukraine Fund. This package includes support to the German initiative on Immediate Action on Air Defence (IAAD), and missiles for air defense systems drawn from stocks. The royal decree of 29 April 2024 (Source 2, p. 42-43) ratfies the allocation of the Ukraine Fund decided by the Council of Ministers on 26 April. In Source 3, Defence minister Dedonder specified that 200 million EUR of this package were allocated to the IAAD for the supply of anti-aircraft defense systems to Ukraine. This contribution to the IAAD was also referenced on page 4 of the Agreement on Security and Cooperation and Long Term Support between Belgium and Ukraine (Source 4). On this entry we report the allocation of  200 million EUR to the IAAD under the commitment on military aid made for 2024 (recorded on entry BEM 17)."
Belgium,26.04.24,4.300.000,EUR,Military,Weapons,Allocation,"In a decision of the Council of Ministers of 26 April 2024 (Source 1), a new package of 204.3 million EUR in military support was allocated from the Ukraine Fund. This package includes support to the German initiative on Immediate Action on Air Defence (IAAD), and missiles for air defense systems drawn from stocks. In Source 2, Defence minister Dedonder specified that 200 million EUR of this package were allocated to the IAAD for the supply of anti-aircraft defense systems to Ukraine. The remaining 4.3 million EUR are allocated in missiles for air defense systems drawn from Belgium's own stocks. An allocation of missiles for air defense systems from stocks was also referenced on page 4 of the Agreement on Security and Cooperation and Long Term Support between Belgium and Ukraine (Source 3). On this entry we report the allocation of  4.3 million EUR in missiles for air defense systems under the commitment on military aid made for 2024 (recorded on entry BEM 17). "
Belgium,15.12.23,181.050.000,EUR,Military,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Belgium,02.08.22,3.100.000,EUR,Financial,Grant,Allocation,"According to the official WB list, the Netherlands committed to a guarantee of PEACE MDTF, which was not listed in the previous donations (Source of aid 1). The project consisted of four tranches so far, and Belgium was not listed among the donors for any of them. Still, in the official PDF for the third tranche, Belgium is listed as a donor for the first or second tranche (Source of aid 2). The document for the first tranche does not list Belgium among donors (Source of aid 3). Therefore, we assign this donation to a second tranche that took place in August 2022."
Belgium,10.11.22,4.960.000,EUR,Financial,Grant,Allocation,Belgium allocated 4.96 EUR million to the IMF's Administered Account for Ukraine.
Belgium,12.05.23,6.000.000,EUR,Financial,Grant,Allocation,"The Federal Government approved a new package of support measures for Ukraine worth 92 EUR million on Friday, Prime Minister Alexander De Croo’s office announced. Out of it, 8 EUR million will go to the reconstruction of Ukraine through funds set up by the European Investment Bank and the World Bank. Source of aid 3 specifies that 6 EUR million went to EIB, and therefore, 2 EUR million went to WB. Here we report the donation to EIB for financial aid analysis reasons."
Belgium,12.05.23,2.000.000,EUR,Financial,Grant,Allocation,"The Federal Government approved a new package of support measures for Ukraine worth 92 EUR million on Friday, Prime Minister Alexander De Croo’s office announced. Out of it, 8 EUR million will go to the reconstruction of Ukraine through funds set up by the European Investment Bank and the World Bank. Source of aid 3 specifies that 6 EUR million went to EIB, and therefore, 2 EUR million went to WB. Here we report the donation to WB for financial aid analysis reasons. Source of aid 4 confirmed it. "
Belgium,27.06.23,1.500.000,EUR,Financial,Grant,Allocation,Belgium is to provide 1.5 EUR million to Ukraine via International Labour Organisation (ILO). 
Belgium,13.10.23,1.000.000,EUR,Financial,Guarantee,Allocation,The Multilateral Insurance Guarantee Agency (MIGA) announced that Belgium has contributed EUR 1 million to its SURE trust fund.
Belgium,15.12.23,376.250.000,EUR,Financial,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Belgium,15.12.23,10.000.000,EUR,Financial,Grant,Allocation,"As part of its EUR 1.7 billion Ukraine Fund, Belgium pledged EUR 10 million to the Belgian Investment Company for Developing Countries (BIO) to support the resilience of Ukraine's economy (Source 1). The Decision made in Council of Ministers of 26 April 2024 further details this pledge, mentioning this 10 million will be devided to EUR 9 million in capital grants and EUR 1 million in management fees to support the resilience of the local economy in Ukraine (Source 2). This pledge is reflected in the Bilateral agreement on security cooperation and long-term support between Belgium and Ukraine signed in May 2024 (Source 3)."
Belgium,29.03.24,10.000.000,EUR,Financial,Grant,Allocation,"According to Source 1, The Council of Minister granted 10 million euros in commitment and liquidation credits to Ukraine via the Special Program for Ukraine and Moldova Recovery (SPUR), part of the Crisis Facility of the International Development Association (IDA) of the World Bank.  This is an allocation of the commitment made with the announcement of the 'Ukraine Fund' in BEF 7."
Belgium,03.05.24,10.000.000,EUR,Financial,Grant,Allocation,"In Source 1, the Council of Ministers agreed on a contribution of 10 million EUR to the Economic Resilience Action Program of the International Finance Corporation (IFC), in support of Ukraine. The contribution comes as an allocation of the commitment made from the Ukraine Fund. Accordingly, this allocation is registered under the commitments made for 2024 (entry BEF 7). "
Belgium,15.12.23,63.750.000,EUR,Financial,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Bulgaria,28.04.22,706.000,EUR,Humanitarian,Assistance,Allocation,"The Bulgarian government announced to provide Ukraine humanitarian assistance worth 706,000 EUR."
Bulgaria,11.08.23,35.000,BGN,Humanitarian,Equipment,Allocation,"Bulgaria will provide humanitarian aid to Ukraine to deal with the harm caused by the destruction of the dam wall of the Kakhovka Hydroelectric Power Plant (HPP). Following a cabinet decision, humanitarian aid worth approximately BGN 35,000 will be provided free of charge, including bottles of natural mineral water and spring water and packaging materials (polyethylene, aeroplast/bubble wrap, etc.)"
Bulgaria,23.08.23,52.743,USD,Humanitarian,Equipment,Allocation,"Bulgaria will provide new humanitarian aid to Ukraine totaling BGN 293376 to help the country cope with the humanitarian situation resulting from the ongoing Russian aggression, the Government decided on 23 August. According to source of aid 1, Humanitarian assistance will be distributed in three equal contributions to the Humanitarian Fund for Ukraine/UN Office for the Coordination of Humanitarian Affairs (OCHA), the UN Children's Fund, and the International Committee of the Red Cross (disability thematic appeal). Source of aid 4 specified that Bulgaria donated 52,743 USD to OCHA and 54,765 USD to UNICEF. Therefore, the rest is supposed to go to the Red Cross. We use the exchange for August to calculate from EUR to USD, the exchange rate for BGN vs EUR is stable. "
Bulgaria,23.08.23,54.765,USD,Humanitarian,Equipment,Allocation,"Bulgaria will provide new humanitarian aid to Ukraine totaling BGN 293376 to help the country cope with the humanitarian situation resulting from the ongoing Russian aggression, the Government decided on 23 August. According to source of aid 1, Humanitarian assistance will be distributed in three equal contributions to the Humanitarian Fund for Ukraine/UN Office for the Coordination of Humanitarian Affairs (OCHA), the UN Children's Fund, and the International Committee of the Red Cross (disability thematic appeal). Source of aid 4 specified that Bulgaria donated 52,743 USD to OCHA and 54,765 USD to UNICEF. Therefore, the rest is supposed to go to the Red Cross. We use the exchange for August to calculate from EUR to USD, the exchange rate for BGN vs EUR is stable. "
Bulgaria,23.08.23,51.045,USD,Humanitarian,Equipment,Allocation,"Bulgaria will provide new humanitarian aid to Ukraine totaling BGN 293376 to help the country cope with the humanitarian situation resulting from the ongoing Russian aggression, the Government decided on 23 August. According to source of aid 1, Humanitarian assistance will be distributed in three equal contributions to the Humanitarian Fund for Ukraine/UN Office for the Coordination of Humanitarian Affairs (OCHA), the UN Children's Fund, and the International Committee of the Red Cross (disability thematic appeal). Source of aid 4 specified that Bulgaria donated 52,743 USD to OCHA and 54,765 USD to UNICEF. Therefore, the rest is supposed to go to the Red Cross. We use the exchange for August to calculate from EUR to USD, the exchange rate for BGN vs EUR is stable. "
Bulgaria,07.02.24, 100.000 ,EUR,Humanitarian,Contribution,Allocation,"Bulgaria will participate in the ""Green Program for Industrial Reconstruction of Ukraine"" of the United Nations Industrial Development Organization (UNIDO) and will contribute EUR 100,000. The funding will be provided from the budget of the Ministry of Foreign Affairs."
Bulgaria,11.06.24, 1.000.000 ,BGN,Humanitarian,Equipment,Allocation,"According to the Prime Minister (Source of Aid 1), Bulgaria is ready to donate energy equipment from the companies in the group of Bulgarian Energy Holding (state owned) worth BGN 1 million "
Bulgaria,06.11.24,929.019,BGN,Humanitarian,Contribution,Allocation,"According to state media, Bulgaria has allocated BGN 929,019 towards humanitarian for Ukraine, as well as Syria, Lebanon, Iraq, Afghanistan and Armenia, through OCHA, UNICEF, ICRC, IOM, UNHCR, and WFP. Due to the lack of information about the amount of aid going to each country, we take the upper bound of this value as assistance to Ukraine."
Bulgaria,09.12.22,20.000.000,USD,Military,Weapons,Allocation,"Bulgaria announces its first military aid to Ukraine since the Russian invasion, mainly light weaponry and ammuntion. Futher details of the package are not disclosed. According to Source of Aid 4, the value of this package is 20 million BGN. "
Bulgaria,until 12/20/2022,413.576.787,BGN,Military,Equipment,Allocation,"According to the Bulgarian Ministry of Defense (Source of Aid 1, a news article from 20.12.2022), Bulgaria has provided 448 million BGN in military humanitarian aid since the beginning of Russia's armed aggression. This is the first time official Bulgarian sources have reported any information regarding the size of aid. We report here the difference between what we have recorded so far. We do not use it for overtime analysis, as the period during which aid was provided is too long."
Bulgaria,until 12/20/2022,413.576.787,BGN,Military,Equipment,Allocation,"According to the Bulgarian Ministry of Defense (Source of Aid 1, a news article from 20.12.2022), Bulgaria has provided 448 million BGN in military humanitarian aid since the beginning of Russia's armed aggression. This is the first time official Bulgarian sources have reported any information regarding the size of aid. We report here the difference between what we have recorded so far. We do not use it for overtime analysis, as the period during which aid was provided is too long."
Bulgaria,until 12/20/2022,413.576.787,BGN,Military,Equipment,Allocation,"According to the Bulgarian Ministry of Defense (Source of Aid 1, a news article from 20.12.2022), Bulgaria has provided 448 million BGN in military humanitarian aid since the beginning of Russia's armed aggression. This is the first time official Bulgarian sources have reported any information regarding the size of aid. We report here the difference between what we have recorded so far. We do not use it for overtime analysis, as the period during which aid was provided is too long."
Bulgaria,10.04.24,60.000,EUR,Financial,Grant,Allocation,"According to the media Source of Aid 1, Bulgarian parliament approved a contribution to the OECD Programme for Ukraine worth EUR 60 000. Additionally, it was mentioned that the agreement was concluded through an exchange of letters dated August 17 and 21 2023. The financing is provided at the expanse of the approved targeted transfers for official development assistance and humanitarian aid under the budget of the Ministry of Foreign Affairs for 2023. "
Croatia,24.02.22,9.100.000,HRK,Humanitarian,Equipment,Allocation,"Goods and equipment that will be provided from the available stockpiles of the Ministry of the Interior, the Ministry of Economy and Sustainable Development, the Ministry of Health, the Ministry of Foreign and European Affairs, and the Croatian Fire Service."
Croatia,08.04.22,1.516.800,HRK,Humanitarian,Equipment,Allocation,"Humanitarian aid worth of 1,516,800 HRK."
Croatia,05.05.22,5.000.000,EUR,Humanitarian,Assistance,Commitment,"Croatia pledged an additional 5 million EUR contribution during the International Donors' Conference on May 5, 2022 (see 1:06:00 in ""Source of Aid 1""). "
Croatia,06.06.22,33.000,EUR,Humanitarian,Equipment,Allocation,"16.4 tonnes of aid worth HRK 247311 (EUR 33000) were sent by the Vukovar-Srijem county with the help of cities and municipalities. The aid consists mainly of food, baby food, water and cosmetics."
Croatia,21.12.22,3.000.000,EUR,Humanitarian,Funding for Weapon Acquisition Program,Allocation,Croatia plans to allocate 3 million EUR for the purchase of demining machines for Ukraine's needs
Croatia,26.01.23,1.000.000,EUR,Humanitarian,Assistance,Allocation,"Croatia will contribute EUR 1 million to the United Nations Children's Fund (UNICEF) for the urgent needs of restoring the energy infrastructure of Ukraine, i.e. for the purchase of 50 generators for schools and hospitals in Ukraine."
Croatia,04.04.23,29.771.015,EUR,Humanitarian,Consolidation,Allocation,"Croatian Minister of Foreign and European Affairs states that Croatia has sent a total of 190 million EUR to Ukraine. He says that Croatia has given all forms of aid, ""not only humanitarian, not only political and diplomatic, but also military"" (Source of Aid 1). Therefore, we use this value to benchmark our values. To date, we have recorded 130,457,970 EUR of Croatian aid. The amount of aid we have not yet accounted for is 59,542,030 EUR. Finding no information about the this aid has been split between the aid types, we split it equally. We attribute 29,771,015 to humanitarian aid (entry HRH7) and to military aid (HRM6).   "
Croatia,22.06.23,43.100.569,EUR,Humanitarian,Consolidation,Allocation,"Croatian Minister of Foreign and European Affairs states that Croatia has sent a total of 230 million EUR to Ukraine. He further states that EUR 50 million of the EUR 230 million went to ""urgent, humanitarian and technical assistance"". The rest was assumed to go to military aid, bringing it to 180 EUR million. However, Source of Aid 2 specified that in total, Croatia provided 160 EUR million of military aid to date. Therefore, since Croatia has not provided any financial aid so far, we assume that the humanitarian aid provided is 80 EUR billion following the upper-bound rule."
Croatia,31.07.23,1.000.000,EUR,Humanitarian,Assistance,Allocation,Croatia contributes EUR 1 million according to source of aid 1 to the UN World Food Programme. The money is used to support the demining of agricultural areas and thus release productive agricultural land.
Croatia,11.10.23,5.000.000,EUR,Humanitarian,Assistance,Allocation,"At the internatinoal donors' conference on humanitarian demining in Zagreb, Croatian Prime Minister Plenkovic promised a new donation of EUR 5 million for demining."
Croatia,11.09.24,5.000.000,EUR,Humanitarian,Assistance,Allocation,"According to Source of Aid 1, the Croatian Prime Minister Andrej Plenković announced that Croatia will ""donate 5 million EUR to rebuild the damaged energy infrastructure"". Source of Aid 2 is the corresponding Ukrainian official source."
Croatia,28.02.22,124.000.000,HRK,Military,Weapons and equipment,Allocation,Protective military equipment and infantry weapons. No further information regarding the shipment has been disclosed.  
Croatia,23.02.23,44.208.276,EUR,Military,Consolidation,Allocation,"According to Source of Aid 1, the government aid to Ukraine has been in total EUR160 million, of which 77% (EUR123 million) is estimated to be military aid (Source of Aid 2). We use this figure, EUR123 million, to benchmark and subtract the values of HRM1 and HRM2 to arrive at EUR44,562,710 "
Croatia,30.03.23,500.000,EUR,Military,Assistance,Allocation,"Croatian Ministry of Foreign and European Affairs says that Croatia will donate EUR500,000 to NATO's Comprehensive Aid Package to Ukraine. "
Croatia,04.04.23,29.771.015,EUR,Military,Consolidation,Allocation,"Croatian Minister of Foreign and European Affairs states that Croatia has sent a total of 190 million EUR to Ukraine. He says that Croatia has given all forms of aid, ""not only humanitarian, not only political and diplomatic, but also military"" (Source of Aid 1). Therefore, we use this value to benchmark our values. To date, we have recorded 130,457,970 EUR of Croatian aid. The amount of aid we have not yet accounted for is 59,542,030 EUR. Finding no information about the this aid has been split between the aid types, we split it equally. We attribute 29,771,015 to humanitarian aid (entry HRH7) and to military aid (HRM6).   "
Croatia,22.06.23,26.108.495,EUR,Military,Consolidation,Allocation,"Croatian Minister of Foreign and European Affairs states that Croatia has sent a total of 230 million EUR to Ukraine. He further states that EUR 50 million of the EUR 230 million went to ""urgent, humanitarian and technical assistance"". We assume that the remaining EUR 180 million went to military aid. Until now, we have only recorded EUR 151.782.620 of military aid. The amount we have not yet accounted for is thus EUR 28.217.380. We attribute the EUR 28.217.380 to military aid in entry HRM6. Source of aid 2 specified that until August 2023, Croatia provided 160 EUR million of military aid, meaning that including this donation, the total amount should be 160 EUR million. We use this information to correct our estimations for military aid. Therefore, humanitarian aid provided to this date should be 230 - 160 = 70 EUR million.  "
Croatia,22.08.23,30.000.000,EUR,Military,Assistance,Allocation,Croatian Prime Minister announced an additional EUR30 million military aid package to Ukraine on Thursday's agenda of the Government session. Source of aid 2 confirms that this donation was confirmed during the closed part of the Government session.
Croatia,13.07.23,1.000.000,EUR,Financial,Grant,Allocation,"Croatia has announced that it will contribute to the European Investment Bank's ""EU for Ukraine"" fund. The fund is a temporary bridging solution for urgent infrastructure needs and to support the economy. According to the EIB website (source 3), the funds amount to EUR 1 million."
Cyprus,09.03.22,2.000.000,EUR,Humanitarian,Equipment,Allocation,"Cyprus has dispatched two shipments of humanitarian aid to Ukraine. The first one was sent on March 8, 2022, and includes a total of 150 tons of humanitarian aid, including 80 tons of food supplies (infant milk and food, flour, long life food), shelter equipment (sleeping bags, tents, blankets, biological toilets), 13 tons of medical supplies and medicines, 5000 pairs of shoes, 22500 liters of bottled water, electricity generator, personal hygiene kits and other civil protection and first aid equipment. The second one, instead, was sent on the 6.04.2022. No information regarding the second shipment has been disclosed. The total value of the two shipments is equal to 2 million EUR. "
Cyprus,09.03.22,2.000.000,EUR,Humanitarian,Equipment,Allocation,"Cyprus has dispatched two shipments of humanitarian aid to Ukraine. The first one was sent on March 8, 2022, and includes a total of 150 tons of humanitarian aid, including 80 tons of food supplies (infant milk and food, flour, long life food), shelter equipment (sleeping bags, tents, blankets, biological toilets), 13 tons of medical supplies and medicines, 5000 pairs of shoes, 22500 liters of bottled water, electricity generator, personal hygiene kits and other civil protection and first aid equipment. The second one, instead, was sent on the 6.04.2022. No information regarding the second shipment has been disclosed. The total value of the two shipments is equal to 2 million EUR. "
Cyprus,09.03.22,2.000.000,EUR,Humanitarian,Equipment,Allocation,"Cyprus has dispatched two shipments of humanitarian aid to Ukraine. The first one was sent on March 8, 2022, and includes a total of 150 tons of humanitarian aid, including 80 tons of food supplies (infant milk and food, flour, long life food), shelter equipment (sleeping bags, tents, blankets, biological toilets), 13 tons of medical supplies and medicines, 5000 pairs of shoes, 22500 liters of bottled water, electricity generator, personal hygiene kits and other civil protection and first aid equipment. The second one, instead, was sent on the 6.04.2022. No information regarding the second shipment has been disclosed. The total value of the two shipments is equal to 2 million EUR. "
Cyprus,09.03.22,2.000.000,EUR,Humanitarian,Equipment,Allocation,"Cyprus has dispatched two shipments of humanitarian aid to Ukraine. The first one was sent on March 8, 2022, and includes a total of 150 tons of humanitarian aid, including 80 tons of food supplies (infant milk and food, flour, long life food), shelter equipment (sleeping bags, tents, blankets, biological toilets), 13 tons of medical supplies and medicines, 5000 pairs of shoes, 22500 liters of bottled water, electricity generator, personal hygiene kits and other civil protection and first aid equipment. The second one, instead, was sent on the 6.04.2022. No information regarding the second shipment has been disclosed. The total value of the two shipments is equal to 2 million EUR. "
Cyprus,09.03.22,2.000.000,EUR,Humanitarian,Equipment,Allocation,"Cyprus has dispatched two shipments of humanitarian aid to Ukraine. The first one was sent on March 8, 2022, and includes a total of 150 tons of humanitarian aid, including 80 tons of food supplies (infant milk and food, flour, long life food), shelter equipment (sleeping bags, tents, blankets, biological toilets), 13 tons of medical supplies and medicines, 5000 pairs of shoes, 22500 liters of bottled water, electricity generator, personal hygiene kits and other civil protection and first aid equipment. The second one, instead, was sent on the 6.04.2022. No information regarding the second shipment has been disclosed. The total value of the two shipments is equal to 2 million EUR. "
Cyprus,03.06.22,500.000,EUR,Humanitarian,Equipment,Allocation,"On June 3, it was reported that a third tranche of humanitarian aid (the first two tranches are covered in CYH1) is ready to be sent to Ukraine. According to ""Source of Aid 1"", this has a value of 500,000 EUR and ""includes mainly medical equipment such as respirators, defibrillators and first aid supplies""."
Cyprus,14.12.22,300.000,EUR,Humanitarian,Equipment,Allocation,"On December 13, at the Ukraine Solidarity Conference in Paris, Cyprus foreign minister announces that Cyprus will provide further humanitarian aid to Ukraine. On 28 December, Cyprus provides details of this announcement: it will provide a 300,000 EUR grant to purchase electricity generators for Ukraine, which will go through Poland.   "
Cyprus,30.12.22,200.000,EUR,Humanitarian,Consolidation,Allocation,"Cyprus Ministry of Foreign Affairs announces that the amount of humanitarian aid from Cyprus to Ukraine now exceeds 3,000,000 EUR. We take this as the official benchmark as of January 13. We subtract previous humanitarian assistance (CYH1 - 3), for a total amount of  undisclosed humanitarian aid is equal to 200,000 EUR.   "
Cyprus,07.04.23,0,USD,Humanitarian,Equipment,Allocation,"Cypriot Defense Minister says that Cyprus will offer Ukraine technical training for landmine detection and clearing, as part of its humanitarian assistance. According to the source of aid 4, this assistance is described as training conducted outside of Ukraine. Since the scope of the dataset is limited to aid directed specifically to Ukrainian territory, we have changed the value of this aid entry to zero."
Cyprus,13.07.23,1.000.000,EUR,Financial,Grant,Allocation,"Cyprus has announced that it will contribute to the European Investment Bank's ""EU for Ukraine"" fund. The fund is a temporary bridging solution for urgent infrastructure needs and to support the economy. Source of Aid 4 now indicates that the amount is now known to be EUR 1 million, so we update the entry accordingly."
Denmark,01.03.22,100.000.000,DKK,Humanitarian,Equipment,Allocation,"DKK 100 million has been allocated to Danish and international organizations through an immediate disbursement fund, where Danish organizations that have a strategic partnership with the Ministry of Foreign Affairs of Denmark can obtain funding for their own or international partners’ work in Ukraine and neighboring countries. Source of aid 3 lists organizations through which funds will be disbursed.


"
Denmark,01.03.22,30.000.000,DKK,Humanitarian,Equipment,Allocation,"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds, which we report here; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water. We do not count DKK 25 million to UNHCR for Moldovan government."
Denmark,01.03.22,25.000.000,DKK,Humanitarian,Equipment,Allocation,"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs, which we report here; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water. We do not count DKK 25 million to UNHCR for Moldovan government."
Denmark,01.03.22,25.000.000,DKK,Humanitarian,Equipment,Allocation,"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water, which we count here. We do not count DKK 25 million to UNHCR for Moldovan government."
